"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Variable","Anot"
"X10391","obese",758.893788688959,-1.97030563972198,0.236320757407914,-8.33742097534426,7.59283593406317e-17,6.63256550710812e-16,"Spectral Match to Tauroursodeoxycholic acid from NIST14","Tauroursodeoxycholic acid"
"X10401","obese",533.320394928878,-2.19830366738932,0.373219301218594,-5.89011248939072,3.85932825734914e-09,2.19372343049319e-08,"Spectral Match to Lyso-PC(16:0) from NIST14","Lyso-PC(16:0)"
"X10411","obese",9178.20054284066,0.244022021901547,0.154489994477424,1.57953285406587,0.114213886865888,0.180914796795566,"Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","1-Myristoyl-sn-glycero-3-phosphocholine"
"X10421","obese",274.297417669405,-0.0166712024807329,0.315540890797154,-0.0528337307998855,0.957864385730604,0.96763851211561,"NCGC00179701-03_C30H46O4_Lup-20(29)-en-28-oic acid, 6-hydroxy-3-oxo-, (5xi,9xi,18xi)-","NCGC00179701-03_C30H46O4_Lup-20(29)-en-28-oic acid, 6-hydroxy-3-oxo-, (5xi,9xi,18xi)-"
"X10431","obese",586.850295710143,-0.0862515877020751,0.162103843851716,-0.532076141149209,0.594673261249466,0.690588303386476,"Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Pentadecanoyl-sn-glycero-3-phosphocholine"
"X10441","obese",194.91724283259,-1.26550490701688,0.281308997766392,-4.49862932599046,6.83929864330236e-06,2.88123644973163e-05,"Spectral Match to N-Oleoyltaurine from NIST14","N-Oleoyltaurine"
"X10451","obese",124.503583645116,-3.00111885612896,0.538039477867455,-5.57787853787985,2.43469554203455e-08,1.28551924619424e-07,"Spectral Match to D-erythro-C18-Sphingosine from NIST14","D-erythro-C18-Sphingosine"
"X10461","obese",955.674185270021,-1.6482384653638,0.201631706486786,-8.17450040017299,2.97094342561845e-16,2.52105770688194e-15,"Spectral Match to Oleanolic acid from NIST14","Oleanolic acid"
"X10471","obese",408.347365907477,-0.535862384299555,0.224200522173373,-2.39010319469808,0.01684363935587,0.0351521241565164,"Massbank:CE000694 1-O-hexadecyl-2-C-methyl-3-phosphatidylcholine","Massbank:CE000694 1-O-hexadecyl-2-C-methyl-3-phosphatidylcholine"
"X10481","obese",704.791183752319,1.8965134168144,0.294863009386705,6.43184582820008,1.26063573993456e-10,7.84102229865054e-10,"Urobilinogen","Urobilinogen"
"X10491","obese",471.812514808227,-2.1368044516275,0.288318660687283,-7.41125963381584,1.25105383081461e-13,9.40665791777059e-13,"Spectral Match to O-Arachidonoylglycidol from NIST14","O-Arachidonoylglycidol"
"X10501","obese",1037.27400995829,0.51293514274077,0.150973190753485,3.39752468753415,0.000679984522249955,0.00207133746777678,"Phytosphingosine","Phytosphingosine"
"X10511","obese",762.664034685121,0.734368372554664,0.171138693901947,4.29107150353394,1.77813043383982e-05,6.99476475298577e-05,"NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid","NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid"
"X10521","obese",1142.74595956185,0.286517285744418,0.153338794559479,1.86852444332526,0.0616890063142605,0.106987648907068,"Phytosphingosine","Phytosphingosine"
"X10531","obese",588.162784368496,0.266110435084256,0.18950506532592,1.40423916704594,0.160247642291496,0.244069485951664,"NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid","NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid"
"X10541","obese",530.830713342257,0.199132901370315,0.145101736277003,1.37236746078741,0.169949074404929,0.256217640092711,"Spectral Match to Chenodeoxycholic acid from NIST14","Chenodeoxycholic acid"
"X10551","obese",910.081337584279,-0.688185198634399,0.217118928385747,-3.16962322792846,0.00152636719822829,0.00425662965139721,"MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE","MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE"
"X10561","obese",933.559784635382,1.30975961099168,0.235617130383861,5.55884713839718,2.71562400483537e-08,1.42121643953499e-07,"NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid","NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid"
"X10571","obese",1067.33757319347,1.5514089435711,0.324700261678548,4.77797256938151,1.77071529463782e-06,7.87868827726493e-06,"Spectral Match to Urobilin from NIST14","Urobilin"
"X10581","obese",371.544984618598,-7.06142927371359,0.566220893056034,-12.4711563284098,1.07258209086684e-35,2.08889758024559e-34,"Spectral Match to Oleanolic acid from NIST14","Oleanolic acid"
"X10591","obese",947.950997665928,-0.299673383226396,0.187497198837739,-1.59828192145812,0.109980248968098,0.17514280934866,"LysoPhosphatidylcholine_16_0","LysoPhosphatidylcholine_16_0"
"X10601","obese",2771.29813518058,1.05666568523102,0.232031579200098,4.55397359649818,5.26419661229202e-06,2.24959193359817e-05,"Tyrosine Conjugated Muricholic acid","Tyrosine Conjugated Muricholic acid"
"X10611","obese",2244.51477978292,-0.0663813450648704,0.205926757530945,-0.322354150867913,0.747184414138912,0.815110269969722,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole","NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole"
"X10621","obese",544.705883414713,-0.252612120435834,0.23111923181802,-1.0929948081289,0.274396079305226,0.376423258908323,"SCH-378199_47738_dereplictor_pv_6.19652e-13","SCH-378199_47738_dereplictor_pv_6.19652e-13"
"X10631","obese",1848.60826404068,-0.406808541258316,0.203741571104452,-1.99668893811444,0.0458589845401187,0.0830495024903369,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole","2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole"
"X10641","obese",689.174897694644,-0.276172351557221,0.240282633848301,-1.1493645925805,0.250405673763182,0.350804175036156,"NCGC00347770-02_C23H32O4_Carda-5,20(22)-dienolide, 3,14-dihydroxy-, (3beta,9xi)-","NCGC00347770-02_C23H32O4_Carda-5,20(22)-dienolide, 3,14-dihydroxy-, (3beta,9xi)-"
"X10651","obese",1732.65591619879,-0.470280722982043,0.162480577072116,-2.8943811713157,0.00379906673005136,0.00950166584273899,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate","NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate"
"X10661","obese",1282.36035759174,-0.255042838173413,0.233157892621821,-1.09386319847679,0.274014981334152,0.376423258908323,"Tyrosine Conjugated Muricholic acid","Tyrosine Conjugated Muricholic acid"
"X10671","obese",1763.156467034,0.577574149068775,0.224479251037094,2.57295115873909,0.0100835436509316,0.0223077278534575,"Tryptophan Conjugated Muricholic Acid","Tryptophan Conjugated Muricholic Acid"
"X10681","obese",3500.647081646,-0.0204312400367099,0.201700184248949,-0.10129509852848,0.919316206990302,0.945582384332882,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate","NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate"
"X10691","obese",1044.07116915869,-0.305539770378801,0.254460154184768,-1.20073718951275,0.2298531632216,0.330188099041428,"Spectral Match to Orientin from NIST14","Orientin"
"X10701","obese",87.0271658310267,1.48235915096163,0.448972594573112,3.30166956486748,0.000961112222382712,0.00281926251898929,"Spectral Match to Coproporphyrin I from NIST14","Coproporphyrin I"
"X10711","obese",214.127504827354,1.43036683519715,0.410467537641128,3.48472584072584,0.000492641526660864,0.00155240884263424,"NCGC00347612-02_C20H30O4_17-Hydroxy-15,16-epoxykauran-18-oic acid","NCGC00347612-02_C20H30O4_17-Hydroxy-15,16-epoxykauran-18-oic acid"
"X10721","obese",230.074918814612,1.53577915055831,0.277945257626581,5.52547348234174,3.28598208704079e-08,1.70469289056963e-07,"NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-","NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-"
"X10731","obese",1771.2217708298,0.614815494576989,0.371402606337617,1.65538820699094,0.0978457766226669,0.159016118505784,"Spectral Match to 12-Ketodeoxycholic acid from NIST14","12-Ketodeoxycholic acid"
"X10741","obese",51.2476093747866,0.287671907956284,0.414668400354336,0.69373964283381,0.487845500165504,0.591388218567978,"MLS001139219-01!(2S)-2-[2-[(4-oxo-2,3-dihydro-1H-cyclopenta[c]chromen-7-yl)oxy]propanoylamino]-3-phenylpropanoic acid","MLS001139219-01!(2S)-2-[2-[(4-oxo-2,3-dihydro-1H-cyclopenta[c]chromen-7-yl)oxy]propanoylamino]-3-phenylpropanoic acid"
"X10751","obese",345.490013622159,0.715496060595719,0.269796328834299,2.65198590242922,0.00800198828731082,0.018211421619397,"MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE","MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE"
"X10761","obese",809.481394136678,0.96697834289494,0.205464245707421,4.7063095555414,2.52241405691167e-06,1.10170143368054e-05,"Spectral Match to Coproporphyrin I from NIST14","Coproporphyrin I"
"X10771","obese",303.760676067436,0.727146952704512,0.338472756003673,2.14831752277463,0.031688539802463,0.060915833795026,"Spectral Match to Tauroursodeoxycholic acid from NIST14","Tauroursodeoxycholic acid"
"X10781","obese",627.343426423822,1.16258601932347,0.172380564215663,6.74429872424003,1.53767886132258e-11,1.0148680484729e-10,"Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,","Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,"
"X10791","obese",304.419665468839,-0.305978303368826,0.302420040827852,-1.01176596144632,0.311649968566752,0.418823713413237,"Glycocholic acid","Glycocholic acid"
"X10801","obese",337.043682156384,1.07569733242016,0.258349190757595,4.16373408898917,3.13084718681777e-05,0.000119213027498061,"Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14","1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine"
"X10811","obese",347.851115376728,0.0607340429162184,0.221300585835749,0.27444140143983,0.783745430139104,0.843887562280582,"Massbank: Leucine_Enkephalin","Massbank: Leucine_Enkephalin"
"X10821","obese",2875.92417587174,0.179838145055295,0.158702128403192,1.13318042338037,0.257138493489089,0.358545223315773,"NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate","NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate"
"X10831","obese",167.997218515831,1.39289711103303,0.245907309165587,5.66431764781376,1.47610742277239e-08,7.93491229979006e-08,"NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid","NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid"
"X10841","obese",1382.24898327894,1.58412557206393,0.220525263714912,7.18341991923356,6.79888663004794e-13,4.89519837363451e-12,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole","NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole"
"X10851","obese",1452.70466621141,0.325811916028539,0.23335068174418,1.39623297259411,0.162644350547721,0.2464559801667,"Spectral Match to 1-O-Hexadecyl-2-O-(2E-butenoyl)-sn-glyceryl-3-phosphocholine from NIST14","1-O-Hexadecyl-2-O-(2E-butenoyl)-sn-glyceryl-3-phosphocholine"
"X10861","obese",2559.62340202954,-1.03016177480023,0.28732138223268,-3.58539892435148,0.000336563338413704,0.00109845397262495,"Spectral Match to Oleoyl L-carnitine from NIST14","Oleoyl L-carnitine"
"X10871","obese",606.226010000241,-0.0637781939010848,0.277759416054492,-0.229616676212239,0.818389647337566,0.87432275273114,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole","2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole"
"X10881","obese",119.026731624624,-0.246524976176328,0.382567507784176,-0.644396011580271,0.519318670202091,0.621925988104924,"Spectral Match to Lithocholic acid from NIST14","Lithocholic acid"
"X10891","obese",1134.40590909038,0.618328331852376,0.252994797111318,2.4440357624442,0.0145239867516045,0.0308210064330789,"Spectral Match to Chenodeoxycholic acid from NIST14","Chenodeoxycholic acid"
"X10901","obese",2230.9558488776,-1.54113497492086,0.172480320066231,-8.93513517559036,4.06680710479715e-19,4.02613903374918e-18,"NCGC00347586-02_C30H46O6_3,19-Dihydroxyurs-12-ene-23,28-dioic acid","NCGC00347586-02_C30H46O6_3,19-Dihydroxyurs-12-ene-23,28-dioic acid"
"X10911","obese",687.153904500397,-0.992260999354342,0.193157641304978,-5.13705278574847,2.7908058588946e-07,1.34775502453934e-06,"NCGC00179701-03_C30H46O4_Lup-20(29)-en-28-oic acid, 6-hydroxy-3-oxo-, (5xi,9xi,18xi)-","NCGC00179701-03_C30H46O4_Lup-20(29)-en-28-oic acid, 6-hydroxy-3-oxo-, (5xi,9xi,18xi)-"
"X10921","obese",2084.47640912097,-3.25538624026086,0.263252345930066,-12.3660293653211,3.99066073281366e-35,7.64662088803649e-34,"NCGC00180746-02_C30H48O6_Olean-12-en-28-oic acid, 2,3,19,24-tetrahydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-","NCGC00180746-02_C30H48O6_Olean-12-en-28-oic acid, 2,3,19,24-tetrahydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-"
"X10931","obese",1545.25347794681,0.0038033463690484,0.191512457311856,0.0198595246619132,0.984155433412299,0.985815054716536,"Spectral Match to 1-Octadecyl-sn-glycero-3-phosphocholine from NIST14","1-Octadecyl-sn-glycero-3-phosphocholine"
"X10941","obese",602.1418178834,-2.31216636158075,0.335305265998714,-6.89570548405768,5.35981363639356e-12,3.72366000002079e-11,"Spectral Match to Hyodeoxycholic acid from NIST14","Hyodeoxycholic acid"
"X10951","obese",2455.93585719625,0.401059677605151,0.16186698207922,2.47771146686892,0.0132228026592031,0.028406310233514,"Spectral Match to O-Arachidonoylglycidol from NIST14","O-Arachidonoylglycidol"
"X10961","obese",303.95077046919,-0.997332522401933,0.188994926698593,-5.27703330361068,1.31292032842965e-07,6.55356869821188e-07,"Spectral Match to 1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14","1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine"
"X10971","obese",352.703985463611,2.2519792465954,0.285391199922813,7.89085033877874,3.0013440957355e-15,2.4590322660233e-14,"Spectral Match to Lithocholic acid from NIST14","Lithocholic acid"
"X10981","obese",27914.1643353672,0.0159474115136959,0.287673397904846,0.0554358228110158,0.955791257228113,0.966365969010211,"Spectral Match to Monopalmitolein (9c) from NIST14","Monopalmitolein (9c)"
"X10991","obese",1621.26881394839,1.38439135567843,0.267635016659286,5.17268395204368,2.30755138299063e-07,1.12351272253806e-06,"Spectral Match to Oleanolic acid from NIST14","Oleanolic acid"
"X11001","obese",215.317494704773,1.97343743784851,0.329752850648003,5.98459553562759,2.16928234222986e-09,1.24497943119279e-08,"NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-","NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-"
"X11011","obese",448.396272371805,2.35853053916063,0.314655017600392,7.49560759318936,6.59919460775631e-14,5.09080726884058e-13,"MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7","MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7"
"X11021","obese",665.658148242597,1.73731507370612,0.266152816175165,6.5275096415389,6.68722043882601e-11,4.29427993585152e-10,"Spectral Match to O-Arachidonoylglycidol from NIST14","O-Arachidonoylglycidol"
"X11031","obese",219.89926337519,0.0654078107522212,0.306014435117774,0.213740932603549,0.830749089281441,0.883562769309395,"Spectral Match to Undecaethylene glycol from NIST14","Undecaethylene glycol"
"X11041","obese",689.984470543481,-1.13118616780183,0.222417732040447,-5.08586324221722,3.65957689902215e-07,1.75305538549932e-06,"Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Heptadecanoyl-sn-glycero-3-phosphocholine"
"X11051","obese",1335.09203923058,0.244152231609613,0.381564828672154,0.639870903351505,0.522256531750457,0.624814460946166,"Spectral Match to 12-Ketodeoxycholic acid from NIST14","12-Ketodeoxycholic acid"
"X11061","obese",229.142833117953,1.41861130600978,0.32692213990805,4.33929407903907,1.42941135415256e-05,5.71764541661023e-05,"Spectral Match to Lithocholic acid from NIST14","Lithocholic acid"
"X11071","obese",864.075233488915,-1.90267309276267,0.236762753549741,-8.03620106725503,9.26666374957616e-16,7.80765711666417e-15,"NCGC00385362-01_C27H38O4_(2E,6E,10E)-13-[(2R)-6-Hydroxy-2,8-dimethyl-3,4-dihydro-2H-chromen-2-yl]-2,6,10-trimethyl-2,6,10-tridecatrienoic acid","NCGC00385362-01_C27H38O4_(2E,6E,10E)-13-[(2R)-6-Hydroxy-2,8-dimethyl-3,4-dihydro-2H-chromen-2-yl]-2,6,10-trimethyl-2,6,10-tridecatrienoic acid"
"X11081","obese",33.5645072775019,-2.58632934987588,0.629657005290485,-4.10752096481911,3.99928486956363e-05,0.000150830172223543,"NCGC00179701-03_C30H46O4_Lup-20(29)-en-28-oic acid, 6-hydroxy-3-oxo-, (5xi,9xi,18xi)-","NCGC00179701-03_C30H46O4_Lup-20(29)-en-28-oic acid, 6-hydroxy-3-oxo-, (5xi,9xi,18xi)-"
"X11091","obese",348.787073597894,-2.46396199342901,0.778513717661002,-3.16495642598546,0.00155106177675226,0.00431536625475804,"Spectral Match to Hyodeoxycholic acid from NIST14","Hyodeoxycholic acid"
"X11101","obese",5197.0555051402,2.26669664653166,0.299784051579032,7.56109817914743,3.99680411330751e-14,3.12381795171666e-13,"Stercobilin","Stercobilin"
"X11111","obese",31.5438694017871,2.32312385520642,1.28772870539372,1.80404758042272,0.0712238482670203,0.1208770453446,"Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14","1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine"
"X11121","obese",492.155396262088,2.14599843043347,0.292960244757169,7.32522063603632,2.3850598371746e-13,1.78204470853046e-12,"MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7","MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7"
"X11131","obese",1035.65430601588,0.161518051153522,0.208688072013461,0.773968773563174,0.438949257563384,0.545472508352824,"Spectral Match to Uvaol from NIST14","Uvaol"
"X11141","obese",240.490264047758,0.638831834989654,0.199854645109438,3.19648229662032,0.00139114363048963,0.00390704168563046,"Spectral Match to Uvaol from NIST14","Uvaol"
"X11151","obese",460.378550146765,0.399575418676308,0.217168100158757,1.83993606051812,0.0657776250576639,0.112437149019431,"MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7","MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7"
"X11161","obese",806.830849998297,0.423463977052424,0.148188114520756,2.85761093878491,0.00426843395739808,0.0105424106889583,"Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14","3.beta.-Hydroxy-5-cholenoic acid"
"X11171","obese",313.895452304822,0.36365743788789,0.322060722576686,1.12915798914691,0.258831192324655,0.36006025349144,"Spectral Match to Glycodeoxycholic acid from NIST14","Glycodeoxycholic acid"
"X11181","obese",391.055743500069,0.0421838081473132,0.22837420427382,0.184713541888185,0.85345372406236,0.898850198746527,"Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14","3.beta.-Hydroxy-5-cholenoic acid"
"X11191","obese",788.05218527611,0.32974246871445,0.207993966948081,1.5853463134186,0.112887671820608,0.179052809242833,"Spectral Match to Tauroursodeoxycholic acid from NIST14","Tauroursodeoxycholic acid"
"X11201","obese",154.483754967116,0.352527829601158,0.380623208383315,0.926185849513773,0.354349405059888,0.461334492976829,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole","NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole"
"X11211","obese",388.974486351701,0.978791474037656,0.220271030511972,4.44357785843498,8.84751184010037e-06,3.67821707210986e-05,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole","2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole"
"X11221","obese",47.8371303248621,0.172521887701506,0.436872051431554,0.394902551298903,0.692914807044731,0.772216501659606,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole","2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole"
"X11231","obese",12432.0390487215,-0.399856322607362,0.386004976132318,-1.03588385469491,0.300256330698876,0.406269385957021,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine"
"X11241","obese",8987.90168554936,-0.633203307654827,0.2074489214178,-3.0523335736201,0.00227069608382716,0.00596811271589969,"NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate","NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate"
"X11251","obese",983.583768215931,1.87795888480531,0.221621575514911,8.47371868213688,2.37681018168562e-17,2.12304548559587e-16,"Massbank: Leucine_Enkephalin","Massbank: Leucine_Enkephalin"
"X11261","obese",170.964823532024,-0.291261216594081,0.557697936817111,-0.522256220376866,0.60149194673544,0.697143836801662,"Spectral Match to Undecaethylene glycol from NIST14","Undecaethylene glycol"
"X11271","obese",763.975952651753,-0.428558559739511,0.344760237293067,-1.24306260810237,0.213844763308028,0.312309420637904,"Spectral Match to 12-Ketodeoxycholic acid from NIST14","12-Ketodeoxycholic acid"
"X11281","obese",142.714885048753,0.436285032713352,0.337202969391689,1.29383508543951,0.195722390811044,0.2906477503544,"NCGC00347612-02_C20H30O4_17-Hydroxy-15,16-epoxykauran-18-oic acid","NCGC00347612-02_C20H30O4_17-Hydroxy-15,16-epoxykauran-18-oic acid"
"X11291","obese",346.340945887129,0.029278884016868,0.217362851754123,0.134700496338665,0.892848680745825,0.928812813245219,"Spectral Match to Oleoyl L-carnitine from NIST14","Oleoyl L-carnitine"
"X11301","obese",477.20693495866,0.107219387556634,0.266166977499024,0.40282753542192,0.687075103096579,0.769577127831478,"SCH-378199_47738_dereplictor_pv_6.19652e-13","SCH-378199_47738_dereplictor_pv_6.19652e-13"
"X11311","obese",85.9139100050188,1.19623701085854,0.780767252867423,1.53213010210824,0.125490332811784,0.197199094418517,"Urobilinogen","Urobilinogen"
"X11321","obese",781.202879255196,-0.0566608460398902,0.304327133318952,-0.186184010022223,0.852300462874311,0.898850198746527,"Spectral Match to Coproporphyrin I from NIST14","Coproporphyrin I"
"X11331","obese",702.96331060849,0.396039041879202,0.311791242160751,1.27020579261497,0.204011334819125,0.300328953860125,"Spectral Match to Coproporphyrin I from NIST14","Coproporphyrin I"
"X11341","obese",608.646041610494,0.882368905970454,0.21313770059654,4.13990065343128,3.47456262189634e-05,0.000131877967885395,"Massbank: Leucine_Enkephalin","Massbank: Leucine_Enkephalin"
"X11351","obese",7813.96185618759,-0.512845713595274,0.242192431775915,-2.11751337494219,0.0342163013860199,0.0649344505536608,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14","1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine"
"X11361","obese",1004.58279932679,0.169101294579128,0.26558416477986,0.636714522190336,0.524310812480501,0.625191620471913,"m/z 313 of diterpene esters (collected from 12-deoxyphorbol-13-acetate)","m/z 313 of diterpene esters (collected from 12-deoxyphorbol-13-acetate)"
"X11371","obese",256.862369940953,1.40384697536384,0.363028652297491,3.86704180642313,0.000110163548208255,0.000382673377986569,"Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Pentadecanoyl-sn-glycero-3-phosphocholine"
"X11381","obese",176.277361821537,-0.356558838711582,0.516095204991115,-0.690878030377593,0.48964219355357,0.59235735839271,"Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Pentadecanoyl-sn-glycero-3-phosphocholine"
"X11391","obese",142988.214161961,0.578132122598069,0.209027498319554,2.76581850352646,0.00567801267751039,0.0134909581217647,"Spectral Match to Oleoyl L-carnitine from NIST14","Oleoyl L-carnitine"
"X11401","obese",3392.82955585152,0.0640065427452551,0.17296787670952,0.370048727907707,0.711346183725971,0.787585523081504,"Spectral Match to Chenodeoxycholic acid from NIST14","Chenodeoxycholic acid"
"X11411","obese",3515.41979638761,0.496819465077783,0.501881895637444,0.989913103852388,0.322216594008599,0.429887320718069,"Spectral Match to Palmitoylcarnitine from NIST14","Palmitoylcarnitine"
"X11421","obese",3216.9946015581,0.399458066351432,0.506094827512583,0.789294900156829,0.429939666640428,0.535396566005061,"Spectral Match to Palmitoylcarnitine from NIST14","Palmitoylcarnitine"
"X11431","obese",1989.03793694835,-0.481527929779861,0.140097813526691,-3.43708383206226,0.000588013577263984,0.00181444189555744,"Spectral Match to Lithocholic acid from NIST14","Lithocholic acid"
