sample_id	age	sex	cage	diet	name	title	number	strain	weight	age_bin	latitude	taxon_id	age_units	body_site	elevation	env_biome	longitude	phenotype	timepoint	host_taxid	life_stage	mice_group	antibiotics	description	env_feature	env_package	sample_type	weight_unit	body_habitat	body_product	env_material	geo_loc_name	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	immune_status	host_subject_id	scientific_name	stam_comparison	experiment_group	prepdescription_	mice_group_number	collection_timestamp	fig_7a_extended_data	fig_7l_extended_data	fig_7m_extended_data	fig_7n_extended_data	fig_7q_extended_data	host_scientific_name	fig_7k1_extended_data	fig_7k2_extended_data	physical_specimen_location	fig_7a_extended_data_groups	fig_7l_extended_data_groups	fig_7m_extended_data_groups	fig_7n_extended_data_groups	fig_7q_extended_data_groups	physical_specimen_remaining	fig_7k1_extended_data_groups	fig_7k2_extended_data_groups	qiita_study_id
10856.E29L.feces.28w.HFD.CD8kCLM.3.6	28	male	Cage 111	HFD	10856.E29L.feces.28w.HFD.CD8kCLM.3.6	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 238	C57Bl/6	40.9	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese, CD8KO	6 months	10090	adult	Group21-CD8k-HFD (6M)	No	CD8k-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS238	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_3_33657_B8	21	6/20/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E22L.feces.27w.HFD.MupHe.1.1	27	male	Cage 1	HFD	10856.E22L.feces.27w.HFD.MupHe.1.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 1	C57Bl/6	45.3	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity	6 months	10090	adult	Group1-MupHe-HFD (6M)	No	MupHe-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS1	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_A2	1	5/5/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E9L.feces.HFD.IgMk.Mup.1	41	male	Cage 121	HFD	10856.E9L.feces.HFD.IgMk.Mup.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 273	C57Bl/6	30.4	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obese, HCC, no IgM	11 months	10090	adult	Group27-IgMkMup-HFD (10-11M)	No	IgMkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no Ig M - some susceptibility	SS273	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_E12	27	11/16/15	FALSE	TRUE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	MUP/IgM-/-	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E55L.feces.16w.STAM.FVB.CD8k.2.11	16	male	Cage 156	HFD	10856.E55L.feces.16w.STAM.FVB.CD8k.2.11	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 406	FVB	26.3	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, T1d, NASH driven HCC, CD8ko	4 months	10090	adult	Group52-STAM-FVB-CD8k (4M)	No	STAM-FVB-CD8k	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS406	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_5_33657_B6	52	1/26/17	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.B6.PIGRHe.Feces.16w.NC.2.19	16	male	Cage 162	NC	10856.B6.PIGRHe.Feces.16w.NC.2.19	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 418	C57Bl/6	23	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	4 months	10090	adult	Group56-NC-B6-PIGRHe (4M)	No	NC-B6-PIGRHe	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS418	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_5_33657_F7	56	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E45L.feces.22w.STAM.FVB.WT.4.4	22	male	Cage 138	HFD	10856.E45L.feces.22w.STAM.FVB.WT.4.4	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 335	FVB	34.1	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, NASH driven HCC	5 months	10090	adult	Group39-STAM-FVB (5M)	No	STAM-FVB	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS335	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_G8	39	11/29/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E15L.feces.45w.HFD.IgACLM.2.7	45	male	Cage 82	HFD	10856.E15L.feces.45w.HFD.IgACLM.2.7	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 157	C57Bl/6	65.4	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese no IgA	11 months	10090	adult	Group15-IgAk-HFD (10-11M)	No	IgAk-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS157	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_2_33657_E9	15	1/5/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E49L.feces.25w.STAM.B6.PIGRHe.1.5	25	male	Cage 128	HFD	10856.E49L.feces.25w.STAM.B6.PIGRHe.1.5	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 304	C57Bl/6	26.3	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	T1d, NASH driven HCC	6 months	10090	adult	Group32-STAM-B6-PIGRHe (6M)	No	STAM-B6-PIGRHe	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS304	mouse gut metagenome	not applicable	E	Karin_Rapid_Response_Plate_4_33657_H4	32	12/21/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E14L.feces.41w.ANB.HFD.MupHe.6.10	41	male	Cage 167	HFD	10856.E14L.feces.41w.ANB.HFD.MupHe.6.10	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 436	C57Bl/6	35	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC, ABX	11 months	10090	adult	Group60-Antibiotic-MupHe-HFD (10-11M)	Yes (Ampicillin, Vancomycin, Neomycin sulfate and Metronidazole )	Antibiotic-MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	not yet	normal	SS436	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_5_33657_H9	60	12/18/15	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	HFD + ABX	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E49L.feces.26w.STAM.B6.PIGRK.2.2	26	male	Cage 131	HFD	10856.E49L.feces.26w.STAM.B6.PIGRK.2.2	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 311	C57Bl/6	21.5	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	T1d, NASH driven HCC, PIGRK	6 months	10090	adult	Group34-STAM-B6-PIGRK (6M)	No	STAM-B6-PIGRK	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no PIGR	SS311	mouse gut metagenome	FALSE	E	Karin_Rapid_Response_Plate_4_33657_G5	34	12/21/16	FALSE	FALSE	FALSE	FALSE	TRUE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	STAM-Pigr-/-	FALSE	not applicable	not applicable	10856
10856.E27L.feces.28w.HFD.IgAkMup.1.1	28	male	Cage 49	HFD	10856.E27L.feces.28w.HFD.IgAkMup.1.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 99	C57Bl/6	42.4	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, no IgA	6 months	10090	adult	Group9-IgAkMup-HFD (6M)	No	IgAkMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS99	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_2_33657_C2	9	6/30/16	TRUE	FALSE	TRUE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	MUP/IgA-/-	not applicable	not applicable	FALSE	HFD	HFD MUP/IgA-/-	10856
10856.E23Lb.feces.51w.ctrl.HFD.IgAkMup.1.20	51	male	Cage 69	HFD	10856.E23Lb.feces.51w.ctrl.HFD.IgAkMup.1.20	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 134	C57Bl/6	54.8	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, HCC, no IgA	11 months	10090	adult	Group11-IgAkMup-HFD (10-11M)	No	IgAkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS134	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_2_33657_F6	11	6/22/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E22L.feces.26w.HFD.CD8kMup.6.18	26	male	Cage 87	HFD	10856.E22L.feces.26w.HFD.CD8kMup.6.18	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 188	C57Bl/6	34.9	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, CD8KO	6 months	10090	adult	Group17-CD8kMup-HFD (6M)	No	CD8kMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS188	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_D1	17	5/5/16	TRUE	FALSE	FALSE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	not applicable	MUP/CD8a-/-	not applicable	FALSE	HFD	HFD MUP/CD8a-/-	10856
10856.BLANK2.1G	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK2.1G	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK2.1G	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego	Control	Negative	Sterile water blank	TRUE	Not applicable	BLANK2.1G	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_2_33657_G1	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK2.1H	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK2.1H	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK2.1H	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego	Control	Negative	Sterile water blank	TRUE	Not applicable	BLANK2.1H	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_2_33657_H1	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E45L.feces.22w.STAM.FVB.WT.2.2	22	male	Cage 138	HFD	10856.E45L.feces.22w.STAM.FVB.WT.2.2	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 333	FVB	31.2	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, NASH driven HCC	5 months	10090	adult	Group39-STAM-FVB (5M)	No	STAM-FVB	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS333	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_E8	39	11/29/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.B6.IgAK.Feces.8w.NC.2.11	8	male	Cage 135	NC	10856.B6.IgAK.Feces.8w.NC.2.11	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 324	C57Bl/6	23	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	no IgA	2 months	10090	adult	Group37-NC-B6-IgAk (2M)	No	NC-B6-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS324	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_4_33657_D7	37	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E17L.feces.43w.ANB.HFD.IgAkMup.1.14	43	male	Cage 169	HFD	10856.E17L.feces.43w.ANB.HFD.IgAkMup.1.14	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 440	C57Bl/6	29.1	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC, no IgA, ABX	11 months	10090	adult	Group61-Antibiotic-IgAkMup-HFD (10-11M)	Yes (Ampicillin, Vancomycin, Neomycin sulfate and Metronidazole )	Antibiotic-IgAkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	not yet	no IgA - some susceptibility	SS440	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_5_33657_D10	61	1/26/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	HFD + ABX	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.B6.IgAK.Feces.5w.NC.4.13	5	male	Cage 136	NC	10856.B6.IgAK.Feces.5w.NC.4.13	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 326	C57Bl/6	14	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	no IgA	2 months	10090	adult	Group37-NC-B6-IgAk (2M)	No	NC-B6-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS326	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_4_33657_F7	37	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E18L.feces.51w.ANB.HFD.IgAkMup.4.8	51	male	Cage 171	HFD	10856.E18L.feces.51w.ANB.HFD.IgAkMup.4.8	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 443	C57Bl/6	28.9	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC, no IgA, ABX	11 months	10090	adult	Group61-Antibiotic-IgAkMup-HFD (10-11M)	Yes (Ampicillin, Vancomycin, Neomycin sulfate and Metronidazole )	Antibiotic-IgAkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	not yet	no IgA - some susceptibility	SS443	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_5_33657_G10	61	9/13/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	HFD + ABX	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK3.2D	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK3.2D	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK3.2D	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego	Control	Negative	Sterile water blank	TRUE	Not applicable	BLANK3.2D	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_3_33657_D2	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E20L.feces.45w.HFD.IgAkCLM.2.7	45	male	Cage 61	HFD	10856.E20L.feces.45w.HFD.IgAkCLM.2.7	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 164	C57Bl/6	50.4	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese no IgA	11 months	10090	adult	Group15-IgAk-HFD (10-11M)	No	IgAk-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS164	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_2_33657_D10	15	4/1/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E37Lb.feces.50w.HFD.CD8kCLM.1.17	50	male	Cage 113	HFD	10856.E37Lb.feces.50w.HFD.CD8kCLM.1.17	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 255	C57Bl/6	48.1	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese, CD8KO	11 months	10090	adult	Group23-CD8k-HFD (10-11M)	No	CD8k-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS255	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_3_33657_C10	23	9/20/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E23La.feces.51w.ctrl.HFD.B6.2.13	51	male	Cage 39	HFD	10856.E23La.feces.51w.ctrl.HFD.B6.2.13	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 79	C57Bl/6	55.2	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese only	6 months	10090	adult	Group 7-B6-HFD (10-11M)	No	B6-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS79	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_1_33657_G11	7	6/22/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E51L.Col.Fe.49w.HFD.MupHe.1.1	49	male	Cage 123	HFD	10856.E51L.Col.Fe.49w.HFD.MupHe.1.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 278	C57Bl/6	55.2	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	Colon, NASH, obese, HCC	11 months	10090	adult	Group28-In-MupHe-HFD (10-11M) Col compare to SI	No	Colon-MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS278	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_4_33657_B1	28	1/5/17	TRUE	FALSE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E18L.feces.25w.NC.IgAkMup.1.24	25	male	Cage 51	NC	10856.E18L.feces.25w.NC.IgAkMup.1.24	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 103	C57Bl/6	28.2	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, no IgA	6 months	10090	adult	Group 10-IgAkMup-NC (6M)	No	IgAkMup-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS103	mouse gut metagenome	not applicable	C	Karin_Rapid_Response_Plate_2_33657_G2	10	9/13/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E26L.feces.27w.HFD.Muphe.1.25	27	male	Cage 3	HFD	10856.E26L.feces.27w.HFD.Muphe.1.25	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 7	C57Bl/6	47.5	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity	6 months	10090	adult	Group1-MupHe-HFD (6M)	No	MupHe-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS7	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_G2	1	5/31/16	TRUE	FALSE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E26L.feces.27w.NC.B6.CR.3.30	27	male	Cage 36	NC	10856.E26L.feces.27w.NC.B6.CR.3.30	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 70	C57Bl/6	30.4	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	6 months	10090	adult	Group 6-B6-NC (6M)	No	B6-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS70	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_1_33657_F10	6	7/7/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E40L.feces.47w.NC.B6.2.5	47	male	Cage 44	NC	10856.E40L.feces.47w.NC.B6.2.5	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 90	C57Bl/6	30.1	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	6 months	10090	adult	Group 8-B6-NC (10-11M)	No	B6-NC (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS90	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_1_33657_F1	8	10/19/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E51L.Col.Fe.51w.HFD.CD8kMup.2.9	51	male	Cage 125	HFD	10856.E51L.Col.Fe.51w.HFD.CD8kMup.2.9	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 294	C57Bl/6	37.6	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	Colon, NASH, obese, HCC, CD8KO	11 months	10090	adult	Group30-In-CD8kMup-HFD  (10-11M) Col compare to SI	No	Colon-CD8kMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS294	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_4_33657_F3	30	1/5/17	TRUE	FALSE	FALSE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	not applicable	MUP/CD8a-/-	not applicable	FALSE	HFD	HFD MUP/CD8a-/-	10856
